title,parent_and_id_1,type,url,wikidata,api_list_children,last_check
🇧🇪 Belgien,data.europa.eu|data-gov-be,country,https://data.gov.be/,Q31,,2023-09-19
🇧🇬 Bulgarien,data.europa.eu|open-data-bulgaria,country,https://data.egov.bg/,Q219,,2023-09-19
🇨🇾 Zypern,data.europa.eu|national-open-data-portal-cyprus,country,https://www.data.gov.cy/,Q229,https://www.data.gov.cy/api/3/action/group_list,2023-12-22
🇨🇿 Tschechien,data.europa.eu|nkod-opendata-cz,country,https://data.gov.cz/,Q213,,2023-09-21
"🇨🇿 Tschechien, Geodaten",data.europa.eu|cuzk,portal,,,,2023-09-21
"🇨🇿 Tschechien, INSPIRE Geoportal",data.europa.eu|geoportal-cr,portal,,,,2023-09-21
🇩🇰 Dänemark,data.europa.eu|open-data-dk,country,https://www.datavejviser.dk/,Q35,,2023-12-22
🇪🇪 Estland,data.europa.eu|avaandmete-portaal,country,https://avaandmed.eesti.ee/,Q191,,2023-12-22
🇪🇸 Spanien,data.europa.eu|datos-gob-es,country,https://datos.gob.es/,Q29,,2023-09-19
"🇪🇸 Spanien, Geodaten",data.europa.eu|idee,portal,https://www.idee.es/,,,2023-11-14
"🇪🇺 EU, Eurostat",data.europa.eu|estat,portal,https://ec.europa.eu/eurostat/,Q217659,,2023-11-14
🇪🇺 Europa,,root,https://data.europa.eu/api/hub/search/catalogues,Q458,,2023-11-14
🇫🇮 Finnland,data.europa.eu|open-data-finland,country,https://www.avoindata.fi/,Q33,https://www.avoindata.fi/data/fi/api/3/action/organization_list,2023-12-22
🇫🇷 Frankreich,data.europa.eu|plateforme-ouverte-des-donnees-publiques-francaises,country,https://www.data.gouv.fr/,Q142,,2023-09-19
"🇫🇷 Frankreich, Geodaten",data.europa.eu|geocatalogue-fr,portal,,,,2023-09-21
🇬🇧 Großbritannien,data.europa.eu|data-gov-uk,country,https://www.data.gov.uk/,Q145,https://ckan.publishing.service.gov.uk/api/3/action/organization_list,2023-09-19
🇬🇷 Griechenland,data.europa.eu|data-gov-gr,country,https://data.gov.gr/,Q41,https://repository.data.gov.gr/api/3/action/organization_list,2023-09-19
🇭🇷 Kroatien,data.europa.eu|portal-otvorenih-podataka,country,https://data.gov.hr/,Q224,https://data.gov.hr/ckan/api/3/action/organization_list,2023-12-22
🇭🇺 Ungarn,data.europa.eu|kozadatportal,country,https://kozadatportal.hu/,Q28,,2023-12-22
🇮🇪 Irland,data.europa.eu|data-gov-ie,country,https://data.gov.ie/,Q27,https://data.gov.ie/api/3/action/organization_list,2023-09-19
🇮🇹 Italien,data.europa.eu|dati-gov-it,country,http://dati.gov.it/,Q38,https://dati.gov.it/opendata/api/3/action/organization_list,2023-09-19
"🇮🇹 Italien, Geodaten",data.europa.eu|rndt,portal,,,,2023-09-21
🇱🇹 Litauen,data.europa.eu|data-gov-lt,country,https://data.gov.lt/,Q37,,2023-12-22
🇱🇺 Luxemburg,data.europa.eu|la-plateforme-de-donnees-luxembourgeoise,country,https://data.public.lu/,Q32,https://data.public.lu/api/1/organizations/,2023-12-22
🇱🇻 Lettland,data.europa.eu|data-gov-lv,country,https://data.gov.lv/lv,Q211,https://data.gov.lv/dati/lv/api/3/action/organization_list,2023-12-22
🇳🇱 Niederlande,data.europa.eu|dataportaal-van-de-nederlandse-overheid,country,https://data.overheid.nl/,Q29999,https://data.overheid.nl/data/api/3/action/organization_list,2023-09-19
"🇳🇱 Niederlande, Geodaten",data.europa.eu|ngr-nl,portal,,,,2023-09-21
🇵🇱 Polen,data.europa.eu|dane-gov-pl,country,https://dane.gov.pl/,Q36,https://api.dane.gov.pl/institutions,2023-12-22
"🇵🇱 Polen, Geodaten",data.europa.eu|podgik,portal,https://metadane.podgik.pl/,,,2023-11-14
🇵🇹 Portugal,data.europa.eu|dados-gov-pt,country,https://dados.gov.pt/,Q45,,2023-09-21
🇷🇴 Rumänien,data.europa.eu|data-gov-ro,country,https://data.gov.ro/,Q218,,2023-09-21
"🇷🇴 Rumänien, Geodaten",data.europa.eu|inis,portal,,,,2023-09-21
🇸🇪 Schweden,data.europa.eu|oppnadata,country,https://www.dataportal.se/,Q34,https://admin.dataportal.se/store/,2023-09-19
🇸🇮 Slowenien,data.europa.eu|odprti-podatki-slovenije,country,https://podatki.gov.si/,Q215,,2023-09-19
"🇸🇮 Slowenien, Geodaten",data.europa.eu|metadata-si,portal,,,,2023-09-21
🇸🇰 Slowakei,data.europa.eu|data-gov-sk,country,https://data.gov.sk/,Q214,,2023-09-21
"🇸🇰 Slowakei, Geodaten",data.europa.eu|csw-sk,portal,,,,2023-09-21
🇺🇦 Ukraine,data.europa.eu|data-gov-ua,country,https://data.gov.ua/,Q212,https://data.gov.ua/api/3/action/organization_list,2023-09-19
